Date,Clicks,Impressions,CTR,Position
2026-03-03,0,0,,
2026-03-04,0,1,0%,2
2026-03-05,1,2,50%,1.5
2026-03-06,1,1,100%,2
2026-03-07,2,4,50%,2
2026-03-08,1,1,100%,8
2026-03-09,0,0,,
2026-03-10,3,10,30%,6.6
2026-03-11,0,3,0%,4.7
2026-03-12,0,2,0%,9.5
2026-03-13,0,2,0%,37
2026-03-14,0,0,,
2026-03-15,0,0,,
2026-03-16,0,1,0%,6
2026-03-17,0,0,,
2026-03-18,0,0,,
2026-03-19,0,0,,
2026-03-20,0,0,,
2026-03-21,0,0,,
2026-03-22,0,0,,
2026-03-23,0,1,0%,48
2026-03-24,1,1,100%,1
2026-03-25,0,0,,
2026-03-26,1,1,100%,2
2026-03-27,1,1,100%,2
2026-03-28,0,0,,
2026-03-29,0,0,,
2026-03-30,0,1,0%,1
2026-03-31,1,1,100%,2
2026-04-01,0,1,0%,41
2026-04-02,0,1,0%,2
2026-04-03,0,0,,
2026-04-04,0,0,,
2026-04-05,0,0,,
2026-04-06,0,0,,
2026-04-07,1,3,33.33%,2
2026-04-08,1,1,100%,2
2026-04-09,0,0,,
2026-04-10,0,0,,
2026-04-11,0,0,,
2026-04-12,0,0,,
2026-04-13,0,2,0%,1.5
2026-04-14,0,0,,
2026-04-15,1,1,100%,3
2026-04-16,3,6,50%,1.2
2026-04-17,1,1,100%,1
2026-04-18,0,0,,
2026-04-19,0,0,,
2026-04-20,1,1,100%,1
2026-04-21,0,0,,
2026-04-22,0,1,0%,42
2026-04-23,1,1,100%,1
2026-04-24,0,0,,
2026-04-25,1,1,100%,1
2026-04-26,0,0,,
2026-04-27,0,0,,
2026-04-28,0,2,0%,9
2026-04-29,0,1,0%,40
2026-04-30,0,0,,
2026-05-01,0,0,,
2026-05-02,0,0,,
2026-05-03,0,0,,
2026-05-04,1,2,50%,3.5
2026-05-05,0,0,,
2026-05-06,2,5,40%,18
2026-05-07,0,0,,
2026-05-08,0,1,0%,38
2026-05-09,0,0,,
2026-05-10,0,0,,
2026-05-11,0,0,,
2026-05-12,0,0,,
2026-05-13,0,0,,
2026-05-14,0,2,0%,57
2026-05-15,1,1,100%,2
2026-05-16,0,0,,
2026-05-17,0,0,,
2026-05-18,0,0,,
2026-05-19,0,0,,
2026-05-20,0,2,0%,46.5
2026-05-21,0,0,,
2026-05-22,0,0,,
2026-05-23,1,3,33.33%,3.7
2026-05-24,0,4,0%,4.5
2026-05-25,0,1,0%,4
2026-05-26,1,3,33.33%,6.7
2026-05-27,0,1,0%,19
2026-05-28,0,2,0%,6.5
2026-05-29,0,1,0%,10
2026-05-30,0,5,0%,21.4
2026-05-31,0,1,0%,10
2026-06-01,0,1,0%,9
2026-06-02,0,0,,
